t,task_id,task_type,method,worker_id,model_id,request_id,success,failure_reason,format_ok,prompt_tokens,completion_tokens,total_tokens,latency_ms,cost_usd,cost_source,cost_exact_usd,cost_fallback_usd,decomp_used,decomp_request_id,raw_output_path,planner_raw_output_path,timestamp
1,humaneval_HumanEval/120,humaneval,single_best,gemini25flash,google/gemini-2.5-flash,gen-1773675325-es97JbgNw1iDZPSxVOLt,1,ok,1,304,708,1012,4519,0.0018612,usage_estimate,,0.0018612,0,,/disk0/home/gaohaoyu/multi-agent-sys_2/outputs/raw/single_best/0001_humaneval_HumanEval_120_solver.json,,1773675340
2,gsm8k_713,gsm8k,single_best,gemini25flash,google/gemini-2.5-flash,gen-1773675342-NifHvmYNwCPctDsOVfVx,1,ok,1,136,292,428,4082,0.0007708,usage_estimate,,0.0007708,0,,/disk0/home/gaohaoyu/multi-agent-sys_2/outputs/raw/single_best/0002_gsm8k_713_solver.json,,1773675356
3,gsm8k_263,gsm8k,single_best,gemini25flash,google/gemini-2.5-flash,gen-1773675357-yNxwPIyFdJ2Xvp2sgFnZ,1,ok,1,149,324,473,2250,0.0008547,usage_estimate,,0.0008547,0,,/disk0/home/gaohaoyu/multi-agent-sys_2/outputs/raw/single_best/0003_gsm8k_263_solver.json,,1773675370
4,humaneval_HumanEval/127,humaneval,single_best,gemini25flash,google/gemini-2.5-flash,gen-1773675370-GBY7QOcQxYV2EDcR2SYb,1,ok,1,341,1117,1458,5939,0.0028948,usage_estimate,,0.0028948,0,,/disk0/home/gaohaoyu/multi-agent-sys_2/outputs/raw/single_best/0004_humaneval_HumanEval_127_solver.json,,1773675386
5,gsm8k_984,gsm8k,single_best,gemini25flash,google/gemini-2.5-flash,gen-1773675386-NcKf7A2AhPvEhbmSHyMy,0,wrong_answer,1,178,1211,1389,7698,0.0030809,usage_estimate,,0.0030809,0,,/disk0/home/gaohaoyu/multi-agent-sys_2/outputs/raw/single_best/0005_gsm8k_984_solver.json,,1773675403
6,gsm8k_736,gsm8k,single_best,gemini25flash,google/gemini-2.5-flash,gen-1773675404-dx9a27zxUDCHZ3Cy5kZ1,1,ok,1,129,462,591,4060,0.0011937,usage_estimate,,0.0011937,0,,/disk0/home/gaohaoyu/multi-agent-sys_2/outputs/raw/single_best/0006_gsm8k_736_solver.json,,1773675417
7,humaneval_HumanEval/132,humaneval,single_best,gemini25flash,google/gemini-2.5-flash,gen-1773675417-UyzrEgXyxPV3TFV7rNWk,0,wrong_answer,1,210,1148,1358,7192,0.002933,usage_estimate,,0.002933,0,,/disk0/home/gaohaoyu/multi-agent-sys_2/outputs/raw/single_best/0007_humaneval_HumanEval_132_solver.json,,1773675434
8,humaneval_HumanEval/42,humaneval,single_best,gemini25flash,google/gemini-2.5-flash,gen-1773675434-s7j51U5TC76n4u2NRpY4,1,ok,1,192,503,695,3653,0.0013151,usage_estimate,,0.0013151,0,,/disk0/home/gaohaoyu/multi-agent-sys_2/outputs/raw/single_best/0008_humaneval_HumanEval_42_solver.json,,1773675448
9,gsm8k_1280,gsm8k,single_best,gemini25flash,google/gemini-2.5-flash,gen-1773675449-e8TpVX0uXqdE6gdCZ7sn,1,ok,1,138,114,252,2754,0.00032639999999999996,usage_estimate,,0.00032639999999999996,0,,/disk0/home/gaohaoyu/multi-agent-sys_2/outputs/raw/single_best/0009_gsm8k_1280_solver.json,,1773675460
10,humaneval_HumanEval/58,humaneval,single_best,gemini25flash,google/gemini-2.5-flash,gen-1773675461-6hmpdtFLi25h635Lt1nD,1,ok,1,198,1079,1277,7046,0.0027569,usage_estimate,,0.0027569,0,,/disk0/home/gaohaoyu/multi-agent-sys_2/outputs/raw/single_best/0010_humaneval_HumanEval_58_solver.json,,1773675477
11,humaneval_HumanEval/35,humaneval,single_best,gemini25flash,google/gemini-2.5-flash,gen-1773675477-moZQvUN3cWzU5UwH0ayt,1,ok,1,161,834,995,5400,0.0021333,usage_estimate,,0.0021333,0,,/disk0/home/gaohaoyu/multi-agent-sys_2/outputs/raw/single_best/0011_humaneval_HumanEval_35_solver.json,,1773675495
12,gsm8k_498,gsm8k,single_best,gemini25flash,google/gemini-2.5-flash,gen-1773675495-43BQxm7Jhw7z4CaqeVWJ,1,ok,1,141,300,441,1938,0.0007922999999999999,usage_estimate,,0.0007922999999999999,0,,/disk0/home/gaohaoyu/multi-agent-sys_2/outputs/raw/single_best/0012_gsm8k_498_solver.json,,1773675508
13,humaneval_HumanEval/53,humaneval,single_best,gemini25flash,google/gemini-2.5-flash,gen-1773675509-UiALPKRKi81c74kdv609,1,ok,1,124,135,259,1860,0.0003747,usage_estimate,,0.0003747,0,,/disk0/home/gaohaoyu/multi-agent-sys_2/outputs/raw/single_best/0013_humaneval_HumanEval_53_solver.json,,1773675520
14,humaneval_HumanEval/149,humaneval,single_best,gemini25flash,google/gemini-2.5-flash,gen-1773675521-r05i8cnsPOSlJ4YXXv12,1,ok,1,275,1051,1326,5761,0.00271,usage_estimate,,0.00271,0,,/disk0/home/gaohaoyu/multi-agent-sys_2/outputs/raw/single_best/0014_humaneval_HumanEval_149_solver.json,,1773675535
15,humaneval_HumanEval/17,humaneval,single_best,gemini25flash,google/gemini-2.5-flash,gen-1773675536-mj3UAhrCsPukUo9yb425,1,ok,1,250,885,1135,5911,0.0022875,usage_estimate,,0.0022875,0,,/disk0/home/gaohaoyu/multi-agent-sys_2/outputs/raw/single_best/0015_humaneval_HumanEval_17_solver.json,,1773675551
16,gsm8k_635,gsm8k,single_best,gemini25flash,google/gemini-2.5-flash,gen-1773675552-GC5gppDrZmnHAPJS2bXy,1,ok,1,156,833,989,5468,0.0021293,usage_estimate,,0.0021293,0,,/disk0/home/gaohaoyu/multi-agent-sys_2/outputs/raw/single_best/0016_gsm8k_635_solver.json,,1773675568
17,gsm8k_71,gsm8k,single_best,gemini25flash,google/gemini-2.5-flash,gen-1773675571-fY66JJZvKfwlFPrYbQQQ,1,ok,1,135,200,335,5586,0.0005405,usage_estimate,,0.0005405,0,,/disk0/home/gaohaoyu/multi-agent-sys_2/outputs/raw/single_best/0017_gsm8k_71_solver.json,,1773675584
18,gsm8k_322,gsm8k,single_best,gemini25flash,google/gemini-2.5-flash,gen-1773675584-A04IwZ5uNUyS9wGa2D2V,1,ok,1,139,294,433,4530,0.0007767,usage_estimate,,0.0007767,0,,/disk0/home/gaohaoyu/multi-agent-sys_2/outputs/raw/single_best/0018_gsm8k_322_solver.json,,1773675599
19,humaneval_HumanEval/11,humaneval,single_best,gemini25flash,google/gemini-2.5-flash,gen-1773675599-5oxwInvEvZmBISmIiBFO,1,ok,1,158,763,921,5079,0.0019549,usage_estimate,,0.0019549,0,,/disk0/home/gaohaoyu/multi-agent-sys_2/outputs/raw/single_best/0019_humaneval_HumanEval_11_solver.json,,1773675613
20,gsm8k_178,gsm8k,single_best,gemini25flash,google/gemini-2.5-flash,gen-1773675614-MhoxmJwrrMjJWk2QLlqE,1,ok,1,129,433,562,2905,0.0011212000000000001,usage_estimate,,0.0011212000000000001,0,,/disk0/home/gaohaoyu/multi-agent-sys_2/outputs/raw/single_best/0020_gsm8k_178_solver.json,,1773675626
21,gsm8k_1244,gsm8k,single_best,gemini25flash,google/gemini-2.5-flash,gen-1773675626-18KsX6SONX6zA8DIjv8u,1,ok,1,178,538,716,3650,0.0013983999999999997,usage_estimate,,0.0013983999999999997,0,,/disk0/home/gaohaoyu/multi-agent-sys_2/outputs/raw/single_best/0021_gsm8k_1244_solver.json,,1773675639
22,gsm8k_500,gsm8k,single_best,gemini25flash,google/gemini-2.5-flash,gen-1773675640-ZZKmsvPeojI33g12A1mU,1,ok,1,129,776,905,5121,0.0019787,usage_estimate,,0.0019787,0,,/disk0/home/gaohaoyu/multi-agent-sys_2/outputs/raw/single_best/0022_gsm8k_500_solver.json,,1773675655
23,humaneval_HumanEval/67,humaneval,single_best,gemini25flash,google/gemini-2.5-flash,gen-1773675655-hRGWkJGfUJ79QD23FrP6,1,ok,1,309,1015,1324,7063,0.0026302,usage_estimate,,0.0026302,0,,/disk0/home/gaohaoyu/multi-agent-sys_2/outputs/raw/single_best/0023_humaneval_HumanEval_67_solver.json,,1773675673
24,gsm8k_1213,gsm8k,single_best,gemini25flash,google/gemini-2.5-flash,gen-1773675673-mTvuQa6FTUYOJ5tcFFbB,1,ok,1,159,374,533,3090,0.0009827,usage_estimate,,0.0009827,0,,/disk0/home/gaohaoyu/multi-agent-sys_2/outputs/raw/single_best/0024_gsm8k_1213_solver.json,,1773675687
25,gsm8k_1279,gsm8k,single_best,gemini25flash,google/gemini-2.5-flash,gen-1773675688-xtcEpm6Umv0HWSTQSxn0,1,ok,1,170,539,709,3940,0.0013985,usage_estimate,,0.0013985,0,,/disk0/home/gaohaoyu/multi-agent-sys_2/outputs/raw/single_best/0025_gsm8k_1279_solver.json,,1773675701
26,gsm8k_464,gsm8k,single_best,gemini25flash,google/gemini-2.5-flash,gen-1773675702-rYmqC0vz6vLi6thpRHjS,1,ok,1,157,160,317,2846,0.0004471,usage_estimate,,0.0004471,0,,/disk0/home/gaohaoyu/multi-agent-sys_2/outputs/raw/single_best/0026_gsm8k_464_solver.json,,1773675713
27,gsm8k_320,gsm8k,single_best,gemini25flash,google/gemini-2.5-flash,gen-1773675713-UGNtEeuo7r70dHCGHq4s,1,ok,1,141,601,742,3270,0.0015448,usage_estimate,,0.0015448,0,,/disk0/home/gaohaoyu/multi-agent-sys_2/outputs/raw/single_best/0027_gsm8k_320_solver.json,,1773675725
28,humaneval_HumanEval/48,humaneval,single_best,gemini25flash,google/gemini-2.5-flash,gen-1773675726-EQsf7y8q2drib0C9MLci,1,ok,1,146,329,475,3181,0.0008662999999999999,usage_estimate,,0.0008662999999999999,0,,/disk0/home/gaohaoyu/multi-agent-sys_2/outputs/raw/single_best/0028_humaneval_HumanEval_48_solver.json,,1773675740
29,gsm8k_1008,gsm8k,single_best,gemini25flash,google/gemini-2.5-flash,gen-1773675741-1x1ctWkFu7xGrPBbr6wr,1,ok,1,133,296,429,4020,0.0007799,usage_estimate,,0.0007799,0,,/disk0/home/gaohaoyu/multi-agent-sys_2/outputs/raw/single_best/0029_gsm8k_1008_solver.json,,1773675753
30,humaneval_HumanEval/61,humaneval,single_best,gemini25flash,google/gemini-2.5-flash,gen-1773675754-eL1EDBH1CqF994kmgeBv,1,ok,1,159,874,1033,6076,0.0022327,usage_estimate,,0.0022327,0,,/disk0/home/gaohaoyu/multi-agent-sys_2/outputs/raw/single_best/0030_humaneval_HumanEval_61_solver.json,,1773675771
31,gsm8k_773,gsm8k,single_best,gemini25flash,google/gemini-2.5-flash,gen-1773675772-zoILApXVMljCWO4MTWbH,1,ok,1,137,356,493,3675,0.0009310999999999999,usage_estimate,,0.0009310999999999999,0,,/disk0/home/gaohaoyu/multi-agent-sys_2/outputs/raw/single_best/0031_gsm8k_773_solver.json,,1773675784
