t,task_id,task_type,method,worker_id,model_id,request_id,success,failure_reason,format_ok,prompt_tokens,completion_tokens,total_tokens,latency_ms,cost_usd,cost_source,cost_exact_usd,cost_fallback_usd,decomp_used,decomp_request_id,raw_output_path,planner_raw_output_path,timestamp
1,humaneval_HumanEval/120,humaneval,ours,haiku45,anthropic/claude-4.5-haiku-20251001,gen-1773682750-DuUU5fzPEGtIaZ2vbEvH,1,ok,1,838,1139,1977,14515,0.005438623,mixed,,0.005438623,1,gen-1773682735-Mg4nY8i5oxUmV1Xs6DpV,/disk0/home/gaohaoyu/multi-agent-sys_2/outputs/raw/ours/0001_humaneval_HumanEval_120_solver.json,/disk0/home/gaohaoyu/multi-agent-sys_2/outputs/raw/ours/0001_humaneval_HumanEval_120_planner.json,1773682768
2,gsm8k_713,gsm8k,ours,deepseek_r1,deepseek/deepseek-r1-0528,gen-1773682779-3sSU5qHtGf5gFnFy0V9b,1,ok,1,330,608,938,40826,0.001289666,mixed,,0.001289666,1,gen-1773682769-cuwC6cUeVTtxzl1xWa4Z,/disk0/home/gaohaoyu/multi-agent-sys_2/outputs/raw/ours/0002_gsm8k_713_solver.json,/disk0/home/gaohaoyu/multi-agent-sys_2/outputs/raw/ours/0002_gsm8k_713_planner.json,1773682827
3,gsm8k_263,gsm8k,ours,haiku45,anthropic/claude-4.5-haiku-20251001,gen-1773682840-7UrMczATsosedD4M2xUj,1,ok,1,428,404,832,6938,0.0019453760000000004,mixed,,0.0019453760000000004,1,gen-1773682827-WYcyEKfydFy4ihI1k6AA,/disk0/home/gaohaoyu/multi-agent-sys_2/outputs/raw/ours/0003_gsm8k_263_solver.json,/disk0/home/gaohaoyu/multi-agent-sys_2/outputs/raw/ours/0003_gsm8k_263_planner.json,1773682852
4,humaneval_HumanEval/127,humaneval,ours,qwen3_235b,qwen/qwen3-235b-a22b-07-25,gen-1773682880-w1uQdUgUnI4ZCJWQqbii,1,ok,1,936,399,1335,23015,0.000106356,mixed,,0.000106356,1,gen-1773682852-3j0RNMiJmY0jMMHRFzjA,/disk0/home/gaohaoyu/multi-agent-sys_2/outputs/raw/ours/0004_humaneval_HumanEval_127_solver.json,/disk0/home/gaohaoyu/multi-agent-sys_2/outputs/raw/ours/0004_humaneval_HumanEval_127_planner.json,1773682892
5,gsm8k_984,gsm8k,ours,deepseek_r1,deepseek/deepseek-r1-0528,gen-1773682893-sPlk7uTknSQsUdneyCJ8,0,wrong_answer,1,174,3308,3482,165263,0.0071905,usage_estimate,,0.0071905,0,,/disk0/home/gaohaoyu/multi-agent-sys_2/outputs/raw/ours/0005_gsm8k_984_solver.json,,1773683067
6,gsm8k_736,gsm8k,ours,gemini25flash,google/gemini-2.5-flash,gen-1773683078-0Lfvfz1GVexQYtkjXaCL,1,ok,1,371,397,768,5106,0.000857682,mixed,,0.000857682,1,gen-1773683067-Z9unvmP24SluxswMiMiQ,/disk0/home/gaohaoyu/multi-agent-sys_2/outputs/raw/ours/0006_gsm8k_736_solver.json,/disk0/home/gaohaoyu/multi-agent-sys_2/outputs/raw/ours/0006_gsm8k_736_planner.json,1773683091
7,humaneval_HumanEval/132,humaneval,ours,qwen3_235b,qwen/qwen3-235b-a22b-07-25,gen-1773683091-VcpzwekF5pBDBTgWW24C,0,wrong_answer,1,207,66,273,1440,2.1297e-05,usage_estimate,,2.1297e-05,0,,/disk0/home/gaohaoyu/multi-agent-sys_2/outputs/raw/ours/0007_humaneval_HumanEval_132_solver.json,,1773683101
8,humaneval_HumanEval/42,humaneval,ours,gemini25flash,google/gemini-2.5-flash,gen-1773683113-60nov3Xu9gag147XbE36,1,ok,1,503,690,1193,5754,0.001603813,mixed,,0.001603813,1,gen-1773683102-GZratEdizrfgbZRdIL2L,/disk0/home/gaohaoyu/multi-agent-sys_2/outputs/raw/ours/0008_humaneval_HumanEval_42_solver.json,/disk0/home/gaohaoyu/multi-agent-sys_2/outputs/raw/ours/0008_humaneval_HumanEval_42_planner.json,1773683125
9,gsm8k_1280,gsm8k,ours,gemini25flash,google/gemini-2.5-flash,gen-1773683139-dMuxyOkKFlsSRCvNnp44,1,ok,1,349,267,616,17236,0.000615679,mixed,,0.000615679,1,gen-1773683126-a7GbJBkSVnNS7cA8Hz9A,/disk0/home/gaohaoyu/multi-agent-sys_2/outputs/raw/ours/0009_gsm8k_1280_solver.json,/disk0/home/gaohaoyu/multi-agent-sys_2/outputs/raw/ours/0009_gsm8k_1280_planner.json,1773683160
10,humaneval_HumanEval/58,humaneval,ours,gemini25flash,google/gemini-2.5-flash,gen-1773683160-VBir2B2j9swFlYF1Ba8O,1,ok,1,198,855,1053,4097,0.0021969,usage_estimate,,0.0021969,0,,/disk0/home/gaohaoyu/multi-agent-sys_2/outputs/raw/ours/0010_humaneval_HumanEval_58_solver.json,,1773683174
11,humaneval_HumanEval/35,humaneval,ours,gemini25flash,google/gemini-2.5-flash,gen-1773683174-amXLJjhcvuGKUKdpQmue,1,ok,1,161,480,641,3657,0.0012483000000000001,usage_estimate,,0.0012483000000000001,0,,/disk0/home/gaohaoyu/multi-agent-sys_2/outputs/raw/ours/0011_humaneval_HumanEval_35_solver.json,,1773683186
12,gsm8k_498,gsm8k,ours,gemini25flash,google/gemini-2.5-flash,gen-1773683199-oz4771I2d1J3CEcihQVv,1,ok,1,387,277,664,6071,0.000576076,mixed,,0.000576076,1,gen-1773683187-pbCg3Jrg65sHBfc9xFly,/disk0/home/gaohaoyu/multi-agent-sys_2/outputs/raw/ours/0012_gsm8k_498_solver.json,/disk0/home/gaohaoyu/multi-agent-sys_2/outputs/raw/ours/0012_gsm8k_498_planner.json,1773683210
13,humaneval_HumanEval/53,humaneval,ours,gemini25flash,google/gemini-2.5-flash,gen-1773683210-Mm0YJjNkwTLc1Ufe9q5v,1,ok,1,124,132,256,1788,0.0003672,usage_estimate,,0.0003672,0,,/disk0/home/gaohaoyu/multi-agent-sys_2/outputs/raw/ours/0013_humaneval_HumanEval_53_solver.json,,1773683222
14,humaneval_HumanEval/149,humaneval,ours,gemini25flash,google/gemini-2.5-flash,gen-1773683224-nSDkK94ltMtde1cqxH3h,1,ok,1,273,1072,1345,7980,0.0027619000000000003,usage_estimate,,0.0027619000000000003,0,,/disk0/home/gaohaoyu/multi-agent-sys_2/outputs/raw/ours/0014_humaneval_HumanEval_149_solver.json,,1773683240
15,humaneval_HumanEval/17,humaneval,ours,gemini25flash,google/gemini-2.5-flash,gen-1773683240-kwTjMjwZvbm4pBO7Y421,1,ok,1,250,1164,1414,16627,0.0029850000000000002,usage_estimate,,0.0029850000000000002,0,,/disk0/home/gaohaoyu/multi-agent-sys_2/outputs/raw/ours/0015_humaneval_HumanEval_17_solver.json,,1773683266
16,gsm8k_635,gsm8k,ours,haiku45,anthropic/claude-4.5-haiku-20251001,gen-1773683278-NJdmbtIkBiwt409gQSZp,1,ok,1,487,825,1312,9765,0.003927656999999999,mixed,,0.003927656999999999,1,gen-1773683266-UJJEAkDzUAvcrD1kyTpn,/disk0/home/gaohaoyu/multi-agent-sys_2/outputs/raw/ours/0016_gsm8k_635_solver.json,/disk0/home/gaohaoyu/multi-agent-sys_2/outputs/raw/ours/0016_gsm8k_635_planner.json,1773683294
17,gsm8k_71,gsm8k,ours,haiku45,anthropic/claude-4.5-haiku-20251001,gen-1773683305-mMq2nHglEL4KDC1ynuAX,1,ok,1,384,249,633,4127,0.001257237,mixed,,0.001257237,1,gen-1773683294-Vy0NyX6I9K0yrIPGM8Yr,/disk0/home/gaohaoyu/multi-agent-sys_2/outputs/raw/ours/0017_gsm8k_71_solver.json,/disk0/home/gaohaoyu/multi-agent-sys_2/outputs/raw/ours/0017_gsm8k_71_planner.json,1773683316
18,gsm8k_322,gsm8k,ours,qwen3_235b,qwen/qwen3-235b-a22b-07-25,gen-1773683388-lSjHvQYuQ928lt8qMwg2,1,ok,1,372,216,588,65743,4.8012e-05,mixed,,4.8012e-05,1,gen-1773683317-1n7T1aQz3UU57ehmjGDf,/disk0/home/gaohaoyu/multi-agent-sys_2/outputs/raw/ours/0018_gsm8k_322_solver.json,/disk0/home/gaohaoyu/multi-agent-sys_2/outputs/raw/ours/0018_gsm8k_322_planner.json,1773683400
19,humaneval_HumanEval/11,humaneval,ours,gemini25flash,google/gemini-2.5-flash,gen-1773683400-L7llq7Rd1H4Bn0t62Y8j,1,ok,1,158,965,1123,5735,0.0024599,usage_estimate,,0.0024599,0,,/disk0/home/gaohaoyu/multi-agent-sys_2/outputs/raw/ours/0019_humaneval_HumanEval_11_solver.json,,1773683415
20,gsm8k_178,gsm8k,ours,gemini25flash,google/gemini-2.5-flash,gen-1773683415-VMhwu7uDTdOT1NMCV3ep,1,ok,1,129,407,536,2994,0.0010562000000000002,usage_estimate,,0.0010562000000000002,0,,/disk0/home/gaohaoyu/multi-agent-sys_2/outputs/raw/ours/0020_gsm8k_178_solver.json,,1773683428
21,gsm8k_1244,gsm8k,ours,qwen3_235b,qwen/qwen3-235b-a22b-07-25,gen-1773683428-uYR7ZFjxmqKKbNFwVAYD,1,ok,1,184,175,359,3625,3.0564e-05,usage_estimate,,3.0564e-05,0,,/disk0/home/gaohaoyu/multi-agent-sys_2/outputs/raw/ours/0021_gsm8k_1244_solver.json,,1773683440
22,gsm8k_500,gsm8k,ours,haiku45,anthropic/claude-4.5-haiku-20251001,gen-1773683441-I9UWGqzKcmPQi7gIweb2,1,ok,1,178,537,715,5818,0.002863,usage_estimate,,0.002863,0,,/disk0/home/gaohaoyu/multi-agent-sys_2/outputs/raw/ours/0022_gsm8k_500_solver.json,,1773683455
23,humaneval_HumanEval/67,humaneval,ours,gemini25flash,google/gemini-2.5-flash,gen-1773683455-eBTAYAZtQysMkk1rcioi,1,ok,1,309,799,1108,6010,0.0020902,usage_estimate,,0.0020902,0,,/disk0/home/gaohaoyu/multi-agent-sys_2/outputs/raw/ours/0023_humaneval_HumanEval_67_solver.json,,1773683470
24,gsm8k_1213,gsm8k,ours,qwen3_235b,qwen/qwen3-235b-a22b-07-25,gen-1773683471-y5feSGkEXEaJjre3QLRP,1,ok,1,167,151,318,9148,2.6957e-05,usage_estimate,,2.6957e-05,0,,/disk0/home/gaohaoyu/multi-agent-sys_2/outputs/raw/ours/0024_gsm8k_1213_solver.json,,1773683488
